Date,Stock,Tail,Fallback,Reason
2020-08-03,INFY.NS,lower,False,
2020-08-03,SBIN.NS,upper,False,
2020-08-03,SBIN.NS,lower,False,
2020-08-17,INFY.NS,upper,False,
2020-08-17,INFY.NS,lower,False,
2020-08-17,SBIN.NS,upper,False,
2020-08-17,SBIN.NS,lower,True,sparse
2020-08-31,INFY.NS,upper,False,
2020-08-31,INFY.NS,lower,False,
2020-08-31,SBIN.NS,upper,False,
2020-08-31,SBIN.NS,lower,True,sparse
2020-09-14,INFY.NS,upper,False,
2020-09-14,INFY.NS,lower,False,
2020-09-14,SBIN.NS,upper,False,
2020-09-14,SBIN.NS,lower,True,sparse
2020-09-28,INFY.NS,upper,False,
2020-09-28,INFY.NS,lower,False,
2020-09-28,SBIN.NS,upper,False,
2020-09-28,SBIN.NS,lower,False,
2020-10-13,INFY.NS,upper,False,
2020-10-13,INFY.NS,lower,False,
2020-10-13,SBIN.NS,upper,False,
2020-10-13,SBIN.NS,lower,True,sparse
2020-10-27,INFY.NS,upper,False,
2020-10-27,INFY.NS,lower,False,
2020-10-27,SBIN.NS,upper,False,
2020-10-27,SBIN.NS,lower,False,
2020-11-10,INFY.NS,upper,True,sparse
2020-11-10,INFY.NS,lower,False,
2020-11-10,SBIN.NS,upper,False,
2020-11-10,SBIN.NS,lower,False,
2020-11-24,INFY.NS,upper,True,invalid
2020-11-24,INFY.NS,lower,False,
2020-11-24,SBIN.NS,upper,False,
2020-11-24,SBIN.NS,lower,False,
2020-12-09,INFY.NS,upper,True,invalid
2020-12-09,INFY.NS,lower,False,
2020-12-09,SBIN.NS,upper,False,
2020-12-09,SBIN.NS,lower,False,
2020-12-23,INFY.NS,upper,True,invalid
2020-12-23,INFY.NS,lower,False,
2020-12-23,SBIN.NS,upper,False,
2020-12-23,SBIN.NS,lower,True,sparse
2021-01-07,INFY.NS,upper,True,invalid
2021-01-07,INFY.NS,lower,False,
2021-01-07,SBIN.NS,upper,False,
2021-01-07,SBIN.NS,lower,False,
2021-01-21,INFY.NS,upper,True,invalid
2021-01-21,INFY.NS,lower,False,
2021-01-21,SBIN.NS,upper,False,
2021-01-21,SBIN.NS,lower,False,
2021-02-05,INFY.NS,upper,True,invalid
2021-02-05,INFY.NS,lower,False,
2021-02-05,SBIN.NS,upper,False,
2021-02-05,SBIN.NS,lower,True,sparse
2021-02-19,INFY.NS,upper,True,invalid
2021-02-19,INFY.NS,lower,False,
2021-02-19,SBIN.NS,upper,False,
2021-02-19,SBIN.NS,lower,False,
2021-03-05,INFY.NS,upper,True,invalid
2021-03-05,INFY.NS,lower,False,
2021-03-05,SBIN.NS,upper,False,
2021-03-05,SBIN.NS,lower,True,sparse
2021-03-22,INFY.NS,upper,False,
2021-03-22,INFY.NS,lower,False,
2021-03-22,SBIN.NS,upper,False,
